nozzle speed pressure loss
1 100 10 -35  
1 120 10 -45  
1 140 10 -40
1 100 10 -25  
1 120 10 -60  
1 140 10  15  
1 100 15 110  
1 120 15 -10  
1 140 15  80  
1 100 15  75   
1 120 15  30   
1 140 15  54  
1 100 20   4    
1 120 20 -40  
1 140 20  31  
1 100 20   5    
1 120 20 -30  
1 140 20  36  
2 100 10  17    
2 120 10 -65  
2 140 10  20  
2 100 10  24    
2 120 10 -58  
2 140 10   4   
2 100 15  55    
2 120 15 -55  
2 140 15 110 
2 100 15 120   
2 120 15 -44  
2 140 15  44  
2 100 20 -23   
2 120 20 -64  
2 140 20 -20 
2 100 20  -5    
2 120 20 -62  
2 140 20 -31 
3 100 10 -39   
3 120 10 -55  
3 140 10  15  
3 100 10 -35   
3 120 10 -67  
3 140 10 -30 
3 100 15  90    
3 120 15 -28  
3 140 15 110 
3 100 15 113   
3 120 15 -26  
3 140 15 135 
3 100 20 -30   
3 120 20 -61  
3 140 20  54  
3 100 20 -55   
3 120 20 -52  
3 140 20   4   
